  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 713   44    1    0.00   0.00     0      0    0      0      0     0     0.00
 714   27    0   65.38  62.96    17     26   27      4     22    20    90.91
 715   31    1    0.00   0.00     0      0    0      0      0     0     0.00
 716   18    0   93.75  93.75    15     16   16      0     17    17   100.00
 717    9    0   71.43  71.43     5      7    7      1      7     7   100.00
 718   19    0   81.25  92.86    13     16   14      1     18    16    88.89
 719   26    0   78.95  83.33    15     19   18      2     24    22    91.67
 720   25    1    0.00   0.00     0      0    0      0      0     0     0.00
 721   39    0   79.31  79.31    23     29   29      4     36    35    97.22
 722   13    0   61.54  80.00     8     13   10      1     11     9    81.82
 723   16    0  100.00 100.00    13     13   13      0     15    11    73.33
 724   34    0   80.00  76.92    20     25   26      0     33    28    84.85
 725   18    0   92.31 100.00    12     13   12      0     14    14   100.00
 726   26    0   76.19  80.00    16     21   20      1     22    18    81.82
 727   21    0   60.00  47.37     9     15   19      6     20    20   100.00
 728   17    0   70.00  77.78     7     10    9      2     15    15   100.00
 729   22    1    0.00   0.00     0      0    0      0      0     0     0.00
 730   30    0   82.61  86.36    19     23   22      2     27    27   100.00
 731   18    1    0.00   0.00     0      0    0      0      0     0     0.00
 732   22    0   60.00  56.25     9     15   16      6     21    20    95.24
 733   30    0   70.37  76.00    19     27   25      5     28    26    92.86
 734   28    0   60.87  73.68    14     23   19      3     24    19    79.17
 735   40    0   73.33  81.48    22     30   27      2     37    37   100.00
 736   27    0   91.30  95.45    21     23   22      0     24    23    95.83
 737   17    0   75.00  80.00    12     16   15      3     16    13    81.25
 738   30    0   57.89  64.71    11     19   17      2     28    25    89.29
 739   18    1    0.00   0.00     0      0    0      0      0     0     0.00
 740   20    1    0.00   0.00     0      0    0      0      0     0     0.00
 741   19    1    0.00   0.00     0      0    0      0      0     0     0.00
 742   21    0   75.00  69.23     9     12   13      2     18    17    94.44
 743   14    0   72.73  88.89     8     11    9      1     13    13   100.00
 744   23    0   70.00  77.78     7     10    9      0     18    17    94.44
 745   33    1    0.00   0.00     0      0    0      0      0     0     0.00
 746   18    0   93.33 100.00    14     15   14      0     17    17   100.00
 747    9    0   66.67  66.67     4      6    6      1      7     6    85.71
 748    8    1    0.00   0.00     0      0    0      0      0     0     0.00
 749   26    1    0.00   0.00     0      0    0      0      0     0     0.00
 750   27    0   70.83  77.27    17     24   22      5     25    25   100.00
 751   17    0   40.00  53.33     8     20   15      7     15    11    73.33
 752   32    0   61.54  64.00    16     26   25      7     30    29    96.67
 753   23    0   88.89  94.12    16     18   17      1     22    22   100.00
